1989	69	1.77
1990	40	1.87
1989	60	1.69
1940	44	1.53
1992	65	1.69
1989	75	1.8
1989	60	1.59
1989	68	1.72
1991	75	1.78
1987	40	1.67
1989	68	1.78
1988	98	1.84
1982	80	1.75
1990	53	1.69
1989	87	1.67
1991	70	1.67
1991	79	1.79
1989	65	1.83
1989	59	1.6
1982	40	1.68
1984	108	1.62
1990	46	1.54
1988	103	1.79
1930	40	1.2
1990	65	1.79
1989	49	1.55
1989	60	1.65
1989	77	1.63
1990	58	1.6
1991	64	1.75
1992	40	1.6
1989	40	1.75
1991	54	1.6
1990	50	1.58
1985	69	1.75
1991	76	1.7
1990	52	1.5
1930	97	1.83
1989	83	1.73
1994	73	1.64
1985	40	1.62
1943	40	1.4
1989	60	1.64
1969	85	1.73
1991	68	1.6
1990	82	1.84
1992	60	1.63
1988	65	1.7
1991	55	1.6
1989	73	1.71
1979	74	1.76
1990	85	1.8
1990	66	1.72
1992	59	1.7
1952	70	1.66
1930	61	1.62
1989	69	1.83
1991	74	1.78
1987	57	1.69
1991	82	1.84
1990	40	1.76
1985	88	1.68
1988	80	1.78
1991	94	1.77
1989	55	1.72
1986	45	1.45
1987	92	1.73
1988	72	1.57
1983	60	1.56
1991	47	1.6
1930	40	1.73
1984	50	1.54
1989	118	1.79
1967	68	1.7
1991	68	1.6
1987	65	1.71
1987	65	1.71
1983	69	1.69
1992	53	1.55
1987	80	1.82
1991	52	1.54
1989	63	1.69
1981	40	1.6
1991	65	1.6
1988	84	1.7
1991	49	1.59
1989	53	1.55
1991	62	1.6
1990	54	1.6
1988	50	1.54
1989	40	1.7
1990	70	1.69
1990	80	1.67
1991	59	1.71
1986	65	1.65
1990	40	1.2
1990	58	1.64
1991	68	1.76
1989	70	2
1990	40	1.65
1988	50	1.69
1989	90	1.78
1989	120	1.9
1991	75	1.71
1991	40	1.74
1930	65	1.71
1989	87	1.79
1983	76	1.81
1989	57	1.72
1993	85	1.75
1991	69	1.69
1991	69	1.69
1990	75	1.73
1991	58	1.68
1990	76	1.76
1987	40	1.71
1982	58	1.6
1987	60	1.68
1992	68	1.68
1930	47	1.57
1987	90	1.6
1930	40	1.2
1987	110	1.75
1991	51	1.2
1990	57	1.67
1990	65	1.63
1992	65	1.76
1986	66	1.72
1989	69	1.69
1989	40	1.2
1990	90	1.8
1991	55	1.6
1991	60	1.57
1991	52	1.65
1988	66	1.54
1990	50	1.6
1989	72	1.78
1991	54	1.55
